,Unnamed: 0,full_name,first_name,last_name,middle_initial,act_id
0,0.0,abbot s. charles,charles,abbot,s,7DwKUTqyXkdf
1,1.0,regni f john,john,regni,f,6WWtgKHyyS5y
2,2.0,weisman s. david,david,weisman,s,4RVUcZ9d3GjK
3,3.0,jacoby e. lowell,lowell,jacoby,e,6qozyKv9J9kp
4,4.0,kellogg k. joseph,joseph,kellogg,k,KacrbaUC4W49
5,5.0,beckel d robert,robert,beckel,d,8MtnmVgfhxAf
6,6.0,timmons f. richard,richard,timmons,f,77K6W52PCJj4
7,7.0,kern j. paul,paul,kern,j,3evQVgj8MpEV
8,8.0,malley c. kenneth,kenneth,malley,c,7LR3XaSKNszX
9,9.0,hosmer c. bradley,bradley,hosmer,c,6aKo9j6pR5TC
10,10.0,vaughn a. clyde,clyde,vaughn,a,8DmxTHZ29duA
11,11.0,smith p. edwin,edwin,smith,p,83fHwGUGPa7e
12,12.0,stackpole henry,henry,stackpole,,3VXdtqQTBEPx
13,13.0,leland s. edwin,edwin,leland,s,3Xe6ngaf73KB
14,14.0,mcilvoy w david,david,mcilvoy,w,47YhTM6d5Srs
15,15.0,king c. james,james,king,c,3FbX3ZCtWf7W
16,16.0,wilson r. thomas,thomas,wilson,r,3cVa49yA2rJk
17,17.0,schoomaker j. peter,peter,schoomaker,j,3M5TtsL6CLL3
18,18.0,smith w. leighton,leighton,smith,w,ZTDSdVHkLmao
19,19.0,sanchez s. ricardo,ricardo,sanchez,s,V23mvp7V6BsG
20,20.0,pitman charles,charles,pitman,,LJgRCeK2HoGo
21,21.0,nowak m. john,john,nowak,m,5cQ7LEqTPaMQ
22,22.0,cromer l donald,donald,cromer,l,cbzsoquCAaGH
23,23.0,zlatoper j. ronald,ronald,zlatoper,j,4oYQ3FeoZK5w
24,24.0,wakefield n. samuel,samuel,wakefield,n,6kQbRQTvt4VF
25,25.0,clark e. vernon,vernon,clark,e,5Ti6FQs7beBe
26,26.0,rhodes john,john,rhodes,,3WbCAyXdWwPU
27,27.0,mccaffrey r. barry,barry,mccaffrey,r,6VfjTenPKT3v
28,28.0,soriano edward,edward,soriano,,3ZuWBYxAXjKR
29,29.0,jordan larry,larry,jordan,,4VECW5YGYfSq
30,30.0,jones w. donald,donald,jones,w,65eoFw55YNPH
31,31.0,mcginn v. dennis,dennis,mcginn,v,6bhgMSDSx7kT
32,32.0,sullivan j kevin,kevin,sullivan,j,5M2eEn7uTWuT
33,33.0,miller david paul,paul,miller,david,qnp7ZnLPmBBR
34,34.0,tiebout robert,robert,tiebout,,6qwGsxTj2Pdy
35,35.0,neal i. richard,richard,neal,i,6NchgP4qWDvF
36,36.0,whiddon r. orren,orren,whiddon,r,3TVjyqyCtyKn
37,37.0,plummer b stephen,stephen,plummer,b,3shJ4mjgh2by
38,38.0,salomon e. leon,leon,salomon,e,3w7Kc9Rc98wc
39,39.0,vesely l david,david,vesely,l,7obuWenkAaua
40,40.0,owens a. william,william,owens,a,54VG3Znyp5Bo
41,41.0,kihune k. u. robert,robert,kihune,k. u,4Gbxf6o3EKnw
42,42.0,munns l. charles,charles,munns,l,65xzvcSf6B5n
43,43.0,wykle r. kenneth,kenneth,wykle,r,7VXJsQnmLo2Z
44,44.0,armstrong m spence,spence,armstrong,m,5jf92ms9wK35
45,45.0,luck e. gary,gary,luck,e,4jGaSy6ZWec3
46,46.0,oliver t. daniel,daniel,oliver,t,7Ha6ZvEo3bie
47,47.0,wood g stephen,stephen,wood,g,BJ6JwNY8Ew4t
48,48.0,"morgan, jr g. john",john,"morgan, jr",g,57vt5gqS7NwL
49,49.0,wright w. timothy,timothy,wright,w,4KrGgcCeeEW7
50,50.0,thompson g. roger,roger,thompson,g,7woHk53tUtdS
51,51.0,ohle h. david,david,ohle,h,5zU63kZWQMmU
52,52.0,shoffner a. wilson,wilson,shoffner,a,3PucgUDnSByj
53,53.0,kramek e. robert,robert,kramek,e,5gNSz76bzmzc
54,54.0,kadish t ronald,ronald,kadish,t,4JpePkpc75AV
55,55.0,solomon k. billy,billy,solomon,k,5pcLb7rsBeW2
56,56.0,zanini r. daniel,daniel,zanini,r,6AYZa8fdXsmY
57,57.0,pickler m. john,john,pickler,m,42zU7i9iEyW3
58,58.0,house w. randolph,randolph,house,w,5iSF94tY8ZQJ
59,59.0,link m. james,james,link,m,4b9Cz8xPiy55
60,60.0,koenig m. harold,harold,koenig,m,7KhwKHMrCjKV
61,61.0,redden j joseph,joseph,redden,j,5MrAuFLgHixa
62,62.0,wolfe a. thad,thad,wolfe,a,8MPKaodxRUPA
63,63.0,tilelli h. john,john,tilelli,h,4R8EgfznFg9h
64,64.0,tilelli h. john,john,tilelli,h,GZjW4iCGwpKg
65,65.0,randolph p bernard,bernard,randolph,p,3WTfdwibKF6L
66,66.0,johnson t hansford,hansford,johnson,t,6U2YjLKNJ28m
67,67.0,mikolashek t. paul,paul,mikolashek,t,PG7KH8xyjxEm
68,68.0,scott t. james,james,scott,t,5JWjquDwmL3M
69,69.0,peake b. james,james,peake,b,7iQeBG6SjiYo
70,70.0,sterner r. george,george,sterner,r,GA9LuyzzfyDy
71,71.0,peay binford james,james,peay,binford,TU54MRkEg3Uz
72,72.0,welser iii william,william,welser iii,,4tYvbxynXyQw
73,73.0,mcduffie m. john,john,mcduffie,m,7U2BdyJqaC33
74,74.0,hughes m. patrick,patrick,hughes,m,MPTeNLUfUQPp
75,75.0,wetekam j donald,donald,wetekam,j,5kLrG8zZcPiN
76,76.0,lippert w. keith,keith,lippert,w,nw8ALuWKUmRG
77,77.0,"woodward, jr l john",john,"woodward, jr",l,3hsuP6SuBmso
78,78.0,piotrowski l john,john,piotrowski,l,5Em5uuLSZWS8
79,79.0,katz j. douglas,douglas,katz,j,7svZJAj7VDjb
80,80.0,parker d. ellis,ellis,parker,d,7zSAJ7HKouYL
81,81.0,reynolds v richard,richard,reynolds,v,qqxYpybTY66M
82,82.0,jeremiah e. david,david,jeremiah,e,4Yn6SyhRwMez
83,83.0,jameson d arlen,arlen,jameson,d,6JymFz5F3DxS
84,84.0,mcginty d michael,michael,mcginty,d,3o9hCDS6wiVT
85,85.0,lezy g. normand,normand,lezy,g,3qirzuR4z3AV
86,86.0,aldridge o. donald,donald,aldridge,o,5yejBcALaCLh
87,87.0,jumper p. john,john,jumper,p,tdgogUaxXLDE
88,88.0,johnston b robert,robert,johnston,b,3K49ce7fANxq
89,89.0,williams e. arthur,arthur,williams,e,66UGrTHaVXAt
