,name,short_name,mnemnoic,category,sector,second_sector,org_id
0,30 west pershing,30 west pershing,,commercial,real estate,,7yjwxjweJiXt
1,3d research corp,3d research corp,,contractor,defense,,4xYoq3ygdqEh
2,5 star life insurance,5 star life insurance,,insurance,finance,,3JNcS89Epwt9
3,aar aviation,aar aviation,,commercial,transportation,,7V6G6bQSYefQ
4,aar corp,aar corp,,commercial,transportation,,E9oFkQJZ8QTA
5,abbot enterprises,abbot enterprises,,commercial,manufacturing,,7xHaeZg897FN
6,abrams group,abrams group,,commercial,other,,7fGZ6ce6qZxo
7,accenture,accenture,,contractor,services,,3G4mkcwXS6jk
8,admiral nimitz foundation,admiral nimitz foundation,,"ngo, state or local",education,,3QtKpgBtGkc3
9,advanced concepts and technologies international,advanced concepts and technologies international,,contractor,defense,,6M68Mh4RmGP3
10,advanced electron beams,advanced electron beams,,commercial,energy,,5vVcucjiTN9f
11,advisory defense health board,,,government,healthcare,defense,6bkEFYZCNL9r
12,aea holdings,aea holdings,,private equity,finance,,5rBZkyQcqNPW
13,aeronautical systems,aeronautical systems,,contractor,defense,,hqTBEpjRvu69
14,aerospace corporation,aerospace corporation,,think tank-gov,defense,,5YGFjEySWBYx
15,aerospace education foundation,aerospace education foundation,,"ngo, state local",other,,5GrzK8BQ9G6G
16,aerovironment,aerovironment,,commercial,technology,,6XMdcuEobNh8
17,af association,af association,,association,defense,,7cvZ7dF5EUmY
18,af research lab,af research lab,,think tank-gov,defense,,84AwB5vvJLkT
19,af scientific advisory board,af scientific advisory board,,advisory board-gov,national security,,4vUi5L4Q9ire
20,afba five star fund,afba five star fund,,investment company,finance,,6VxyhmKeyqM8
21,afcea,afcea,,association,defense,telecommuncations,4SUEbikE2Pt8
22,agility defense and government services,agility defense and government services,,contractor,defense,,4xRtTmSmZkyZ
23,air conditioning and refrigeration institute,air conditioning and refrigeration institute,,association,manufacturing,,6k4ppADscnpG
24,air force aid society,air force aid society,,"ngo, state or local",philanthropy,,5UdokDon6csA
25,air force villages foundation,air force villages foundation,,"ngo, state or local",philanthropy,,7nGJkwKdvugN
26,airborne and special operations museum,airborne and special operations museum,,"ngo, state or local",other,,vVJf7Eu97r2r
27,alabama aircraft co,alabama aircraft co,,contractor,defense,,5Cku2CDjjsZ3
28,alaska aerospace development corp,alaska aerospace development corp,,contractor,transportation,,3ChxjuhK2RkQ
